The data,Region,Electricity consumption of the grid,Primary energy consumption before ,Current inverter set power,Inverter power in project,Electricity produced by solar panels,Primary energy consumption after ,Reduction of primary energy,CO2 emissions reduction
2023,Rīga,4.65,11.63,0.0,10.0,9.09,-2.01,13.64,0.99
2023,Latgale,8.21,20.53,0.0,8.0,8.21,8.21,12.32,0.89
2023,Vidzeme,3.52,8.8,0.0,3.0,3.0,4.3,4.5,0.33
2023,Vidzeme,10.9,27.25,0.0,11.7,10.55,11.43,15.83,1.15
2023,Rīga,14.28,35.7,0.0,10.0,8.7,22.65,13.05,0.95
2023,Rīga,4.79,11.98,0.0,10.0,6.44,2.32,9.66,0.7
2023,Rīga,7.87,19.68,0.0,11.34,10.0,4.68,15.0,1.09
2023,Rīga,13.91,34.78,0.0,10.0,13.8,14.08,20.7,1.5
2023,Kurzeme,16.41,41.03,0.0,11.0,12.87,21.72,19.31,1.4
2023,Rīga,4.04,10.1,3.75,4.2,4.87,2.8,7.31,0.53
2023,Zemgale,5.06,12.65,0.0,6.0,6.13,3.46,9.2,0.67
2023,Latgale,1.91,4.78,0.0,4.0,4.0,-1.23,6.0,0.44
2023,Rīga,5.62,14.05,0.0,8.0,5.0,6.55,7.5,0.55
2023,Rīga,13.2,33.0,0.0,10.0,10.0,18.0,15.0,1.09
2023,Kurzeme,7.63,19.08,0.0,8.0,8.6,6.18,12.9,0.94
2023,Rīga,4.67,11.68,0.0,6.0,5.31,3.71,7.97,0.58
2023,Rīga,10.84,27.1,0.0,10.0,11.04,10.54,16.56,1.2
2023,Kurzeme,2.87,7.18,0.0,6.7,7.5,-4.08,11.25,0.82
2023,Latgale,4.57,11.43,0.0,5.0,4.7,4.38,7.05,0.51
2023,Rīga,7.29,18.23,0.0,8.0,7.04,7.67,10.56,0.77
2023,Kurzeme,3.1,7.75,0.0,8.0,7.68,-3.77,11.52,0.84
2023,Rīga,6.27,15.68,0.0,3.68,3.77,10.02,5.66,0.41
2023,Zemgale,2.83,7.08,0.0,10.0,8.3,-5.38,12.45,0.9
2023,Rīga,4.63,11.58,0.0,6.0,4.8,4.38,7.2,0.52
2023,Rīga,7.26,18.15,0.0,8.0,8.11,5.99,12.17,0.88
2023,Rīga,7.6,19.0,0.0,4.0,2.54,15.19,3.81,0.28
2023,Rīga,5.95,14.88,0.0,8.0,7.8,3.18,11.7,0.85
2023,Rīga,21.08,52.7,0.0,11.1,12.0,34.7,18.0,1.31
2023,Rīga,5.77,14.43,0.0,3.68,4.68,7.41,7.02,0.51
2023,Rīga,3.13,7.83,0.0,10.0,7.8,-3.88,11.7,0.85
2023,Kurzeme,8.59,21.48,0.0,9.0,9.93,6.58,14.9,1.08
2023,Rīga,6.4,16.0,0.0,8.0,6.23,6.66,9.35,0.68
2023,Rīga,5.44,13.6,0.0,4.0,4.05,7.53,6.08,0.44
2023,Rīga,6.63,16.58,0.0,8.0,8.69,3.54,13.04,0.95
2023,Vidzeme,9.23,23.08,6.0,11.0,5.67,14.57,8.51,0.62
2023,Zemgale,4.42,11.05,0.0,11.0,9.98,-3.92,14.97,1.09
2023,Rīga,1.67,4.18,0.0,10.0,5.21,-3.64,7.82,0.57
2023,Rīga,4.67,11.68,0.0,6.0,5.3,3.73,7.95,0.58
2023,Zemgale,2.14,5.35,0.0,6.0,6.18,-3.92,9.27,0.67
2023,Rīga,3.66,9.15,0.0,2.2,3.05,4.58,4.58,0.33
2023,Rīga,1.59,3.98,0.0,7.6,9.98,-11.0,14.97,1.09
2023,Rīga,13.07,32.68,0.0,8.0,8.1,20.53,12.15,0.88
2023,Rīga,4.82,12.05,0.0,10.0,10.3,-3.4,15.45,1.12
2023,Rīga,7.7,19.25,0.0,11.0,12.0,1.25,18.0,1.31
2023,Vidzeme,7.89,19.73,0.0,8.0,8.17,7.47,12.26,0.89
2023,Rīga,10.49,26.23,0.0,11.0,10.71,10.16,16.07,1.17
2023,Rīga,8.42,21.05,0.0,10.0,8.69,8.02,13.04,0.95
2023,Kurzeme,5.35,13.38,0.0,8.8,8.27,0.97,12.41,0.9
2023,Zemgale,6.82,17.05,0.0,10.0,8.3,4.6,12.45,0.9
2023,Rīga,7.32,18.3,0.0,8.0,7.8,6.6,11.7,0.85
2023,Kurzeme,9.77,24.43,0.0,10.0,10.17,9.17,15.26,1.11
2023,Rīga,10.76,26.9,0.0,11.1,10.4,11.3,15.6,1.13
2023,Rīga,11.14,27.85,0.0,10.0,9.5,13.6,14.25,1.04
2023,Kurzeme,3.69,9.23,0.0,11.1,11.65,-8.25,17.48,1.27
2023,Rīga,3.22,8.05,0.0,5.4,4.86,0.76,7.29,0.53
2023,Zemgale,5.26,13.15,0.0,3.68,4.05,7.08,6.08,0.44
2023,Rīga,6.71,16.78,0.0,7.68,6.97,6.32,10.46,0.76
2023,Latgale,3.36,8.4,0.0,10.0,8.7,-4.65,13.05,0.95
2023,Rīga,3.83,9.58,0.0,6.0,5.5,1.33,8.25,0.6
2023,Rīga,5.43,13.58,0.0,8.0,6.9,3.23,10.35,0.75
2023,Rīga,11.46,28.65,0.0,10.0,12.64,9.69,18.96,1.38
2023,Zemgale,6.34,15.85,0.0,10.0,8.23,3.51,12.35,0.9
2023,Rīga,4.71,11.78,0.0,11.1,9.9,-3.08,14.85,1.08
2023,Rīga,1.7,4.25,0.0,6.0,4.29,-2.19,6.44,0.47
2023,Zemgale,3.22,8.05,0.0,8.0,8.6,-4.85,12.9,0.94
2023,Rīga,4.19,10.48,0.0,9.0,3.78,4.81,5.67,0.41
2023,Rīga,7.91,19.78,0.0,10.0,11.9,1.93,17.85,1.3
2023,Zemgale,4.04,10.1,0.0,5.0,6.43,0.46,9.65,0.7
2023,Rīga,10.7,26.75,0.0,11.1,11.81,9.04,17.72,1.29
2023,Kurzeme,4.67,11.68,0.0,11.1,11.65,-5.8,17.48,1.27
2023,Zemgale,10.44,26.1,0.0,11.1,11.0,9.6,16.5,1.2
2023,Rīga,11.15,27.88,0.0,10.25,10.5,12.13,15.75,1.14
2023,Rīga,3.0,7.5,0.0,10.0,10.0,-7.5,15.0,1.09
2023,Rīga,4.98,12.45,0.0,11.1,10.5,-3.3,15.75,1.14
2023,Rīga,11.0,27.5,0.0,10.0,12.41,8.89,18.62,1.35
2023,Kurzeme,10.57,26.43,0.0,10.0,11.06,9.84,16.59,1.21
2023,Vidzeme,2.1,5.25,3.8,11.1,6.41,-4.37,9.62,0.7
2023,Rīga,5.17,12.93,0.0,8.5,8.1,0.78,12.15,0.88
2023,Rīga,18.06,45.15,0.0,11.1,14.23,23.81,21.35,1.55
2023,Rīga,4.43,11.08,0.0,8.0,6.9,0.72,10.35,0.75
2023,Rīga,12.99,32.48,0.0,11.1,13.68,11.96,20.52,1.49
2023,Latgale,4.65,11.63,0.0,8.0,7.08,1.01,10.62,0.77
2022,Rīga,3.58,8.95,0.0,11.1,9.42,-5.18,14.13,1.03
2023,Rīga,4.17,10.43,0.0,8.0,7.1,-0.23,10.65,0.77
2023,Zemgale,4.04,10.1,8.5,11.1,2.65,6.13,3.98,0.29
2023,Rīga,2.0,5.0,0.0,5.5,3.0,0.5,4.5,0.33
2023,Rīga,11.47,28.68,0.0,10.0,9.61,14.26,14.42,1.05
2023,Rīga,4.62,11.55,0.0,6.75,5.79,2.87,8.69,0.63
2023,Rīga,7.62,19.05,0.0,8.5,6.8,8.85,10.2,0.74
2023,Rīga,8.9,22.25,0.0,10.0,10.72,6.17,16.08,1.17
2023,Rīga,10.1,25.25,1.1,11.1,6.0,16.25,9.0,0.65
2023,Rīga,6.88,17.2,0.0,11.1,8.82,3.97,13.23,0.96
2023,Rīga,2.5,6.25,0.0,3.0,2.69,2.22,4.04,0.29
2023,Rīga,2.81,7.03,0.0,8.0,4.9,-0.33,7.35,0.53
2023,Rīga,4.67,11.68,0.0,8.0,8.1,-0.48,12.15,0.88
2023,Zemgale,2.85,7.13,0.0,6.0,5.53,-1.17,8.3,0.6
2023,Rīga,7.83,19.58,0.0,6.2,4.43,12.93,6.65,0.48
2023,Kurzeme,6.69,16.73,0.0,6.0,6.7,6.68,10.05,0.73
2023,Rīga,5.04,12.6,0.0,10.0,6.1,3.45,9.15,0.66
2023,Latgale,8.75,21.88,0.0,11.0,10.7,5.83,16.05,1.17
2023,Rīga,5.01,12.53,0.0,6.0,6.75,2.4,10.13,0.74
2022,Rīga,6.89,17.23,0.0,11.1,11.97,-0.73,17.96,1.3
2022,Rīga,2.62,6.55,0.0,5.0,5.32,-1.43,7.98,0.58
2022,Rīga,9.6,24.0,1.0,10.0,6.0,15.0,9.0,0.65
2022,Rīga,3.84,9.6,0.0,6.0,5.05,2.03,7.58,0.55
2022,Zemgale,2.4,6.0,0.0,11.1,12.0,-12.0,18.0,1.31
2022,Vidzeme,1.58,3.95,0.0,8.0,7.38,-7.12,11.07,0.8
2022,Vidzeme,5.09,12.73,0.0,10.0,9.9,-2.13,14.85,1.08
2022,Kurzeme,4.86,12.15,0.0,5.0,5.8,3.45,8.7,0.63
2022,Rīga,3.25,8.13,0.0,8.0,5.16,0.39,7.74,0.56
2022,Vidzeme,29.23,73.08,0.0,10.0,11.0,56.58,16.5,1.2
2022,Rīga,5.53,13.83,0.0,10.0,5.08,6.21,7.62,0.55
2022,Rīga,17.6,44.0,0.0,11.1,10.0,29.0,15.0,1.09
